#Datasets, Alice06, Alice00, Bob03, Alice01, Bob00, Alice34, Bob01, Alice03, Bob06, Bob08, Alice08, Bob34
"Protein Metabolism", 553660.0, 453132.0, 687566.0, 432109.0, 576364.0, 546007.0, 514279.0, 371505.0, 530174.0, 643991.0, 516704.0, 579041.0
"Regulation and Cell signaling", 153489.0, 99604.0, 236509.0, 89302.0, 183046.0, 104934.0, 159770.0, 75883.0, 173373.0, 205479.0, 156707.0, 185960.0
"Respiration", 236049.0, 181826.0, 264861.0, 178898.0, 232638.0, 224011.0, 209267.0, 140900.0, 211942.0, 257926.0, 234956.0, 239809.0
"RNA Metabolism", 305140.0, 262795.0, 413088.0, 250160.0, 340286.0, 301858.0, 301753.0, 209643.0, 322513.0, 385629.0, 287034.0, 341093.0
"Secondary Metabolism", 22768.0, 23964.0, 58769.0, 19857.0, 40359.0, 34702.0, 32871.0, 11248.0, 44829.0, 53148.0, 23200.0, 38027.0
"Stress Response", 172782.0, 155599.0, 250735.0, 148697.0, 196992.0, 183752.0, 177004.0, 118423.0, 193165.0, 233418.0, 171096.0, 199357.0
"Sulfur Metabolism", 178436.0, 144135.0, 435736.0, 127860.0, 275820.0, 178863.0, 231100.0, 96567.0, 316152.0, 364077.0, 155297.0, 273335.0
"Thiamin", 31777.0, 24195.0, 41842.0, 21764.0, 38243.0, 28042.0, 33251.0, 17212.0, 33483.0, 38997.0, 35390.0, 38900.0
"Transcriptional regulation", 20808.0, 23126.0, 25391.0, 22779.0, 21052.0, 30001.0, 20522.0, 18831.0, 23673.0, 25165.0, 20052.0, 19938.0
"Virulence", 315580.0, 252438.0, 447647.0, 247881.0, 359944.0, 296088.0, 316024.0, 203201.0, 344073.0, 414600.0, 296891.0, 362015.0
"Virulence, Disease and Defense", 96066.0, 77319.0, 165442.0, 70303.0, 118597.0, 93110.0, 103758.0, 55998.0, 129212.0, 153358.0, 82934.0, 116227.0
"Unclassified", 569665.0, 455224.0, 1000480.0, 418769.0, 724622.0, 526766.0, 621790.0, 323786.0, 732406.0, 879821.0, 526040.0, 729198.0
